Date,Open,High,Low,Close,Adj Close,Volume
2020-11-21,0.118,0.134,0.117,0.133,0.133,1385060442
2020-11-22,0.133,0.153,0.12,0.145,0.145,2294032112
2020-11-23,0.145,0.158,0.142,0.154,0.154,2203606418
2020-11-24,0.154,0.182,0.154,0.166,0.166,2566224959
2020-11-25,0.166,0.175,0.15,0.155,0.155,1773041979
2020-11-26,0.155,0.16,0.123,0.138,0.138,2523183036
2020-11-27,0.138,0.145,0.131,0.141,0.141,1505708870
2020-11-28,0.141,0.172,0.14,0.165,0.165,1932319047
2020-11-29,0.165,0.171,0.158,0.167,0.167,1731327207
2020-11-30,0.167,0.173,0.161,0.171,0.171,2151589402
2020-12-01,0.171,0.174,0.147,0.156,0.156,2071556994
2020-12-02,0.156,0.16,0.151,0.159,0.159,1367595805
2020-12-03,0.159,0.168,0.156,0.164,0.164,1287927035
2020-12-04,0.164,0.165,0.147,0.148,0.148,1200621758
2020-12-05,0.148,0.161,0.147,0.16,0.16,1036100099
2020-12-06,0.16,0.162,0.153,0.159,0.159,886137949
2020-12-07,0.159,0.159,0.152,0.154,0.154,789426236
2020-12-08,0.154,0.155,0.139,0.141,0.141,939164987
2020-12-09,0.141,0.15,0.13,0.148,0.148,1320752603
2020-12-10,0.148,0.149,0.14,0.142,0.142,798550525
2020-12-11,0.142,0.143,0.135,0.139,0.139,704854539
2020-12-12,0.139,0.147,0.139,0.144,0.144,519780651
2020-12-13,0.145,0.156,0.143,0.154,0.154,675025745
2020-12-14,0.154,0.158,0.15,0.158,0.158,587078385
2020-12-15,0.158,0.16,0.153,0.154,0.154,607184173
2020-12-16,0.154,0.168,0.15,0.168,0.168,976699799
2020-12-17,0.168,0.174,0.162,0.163,0.163,1188727265
2020-12-18,0.163,0.169,0.159,0.165,0.165,1101018945
2020-12-19,0.165,0.17,0.163,0.165,0.165,586684841
2020-12-20,0.165,0.168,0.159,0.162,0.162,729191687
2020-12-21,0.162,0.165,0.148,0.153,0.153,1139902286
2020-12-22,0.153,0.16,0.149,0.156,0.156,1138400653
2020-12-23,0.156,0.157,0.127,0.136,0.136,1484453887
2020-12-24,0.136,0.154,0.132,0.153,0.153,1470292431
2020-12-25,0.153,0.167,0.15,0.158,0.158,1119917804
2020-12-26,0.158,0.162,0.15,0.158,0.158,1191970341
2020-12-27,0.158,0.165,0.15,0.154,0.154,1578354821
2020-12-28,0.154,0.179,0.153,0.177,0.177,1732151279
2020-12-29,0.177,0.196,0.174,0.192,0.192,2967669490
2020-12-30,0.192,0.193,0.176,0.184,0.184,1849432295
2020-12-31,0.184,0.186,0.177,0.181,0.181,1132268397
2021-01-01,0.181,0.184,0.172,0.175,0.175,1122218004
2021-01-02,0.175,0.184,0.169,0.177,0.177,1408849504
2021-01-03,0.177,0.209,0.173,0.205,0.205,2303857909
2021-01-04,0.205,0.24,0.194,0.225,0.225,3260699086
2021-01-05,0.225,0.265,0.208,0.258,0.258,4097207384
2021-01-06,0.259,0.346,0.256,0.332,0.332,6170988900
2021-01-07,0.332,0.353,0.283,0.3,0.3,5149188552
2021-01-08,0.3,0.32,0.266,0.306,0.306,4560690774
2021-01-09,0.306,0.339,0.297,0.333,0.333,3655608662
2021-01-10,0.333,0.34,0.285,0.305,0.305,3732911206
2021-01-11,0.305,0.305,0.233,0.275,0.275,4768803200
2021-01-12,0.275,0.313,0.266,0.287,0.287,4037298875
2021-01-13,0.287,0.314,0.272,0.314,0.314,2656935144
2021-01-14,0.314,0.324,0.3,0.31,0.31,2686785564
2021-01-15,0.311,0.33,0.281,0.303,0.303,3171984602
2021-01-16,0.303,0.365,0.302,0.352,0.352,4476161885
2021-01-17,0.352,0.396,0.343,0.38,0.38,5617481334
2021-01-18,0.38,0.395,0.366,0.371,0.371,3480282508
2021-01-19,0.371,0.383,0.364,0.369,0.369,2957453653
2021-01-20,0.369,0.376,0.332,0.375,0.375,3281600988
2021-01-21,0.375,0.379,0.301,0.31,0.31,3567902823
2021-01-22,0.31,0.359,0.284,0.35,0.35,4066222238
2021-01-23,0.349,0.357,0.337,0.346,0.346,2781033956
2021-01-24,0.346,0.369,0.339,0.354,0.354,2539663711
2021-01-25,0.354,0.364,0.342,0.344,0.344,2339817092
2021-01-26,0.344,0.35,0.326,0.344,0.344,2557745015
2021-01-27,0.344,0.344,0.305,0.313,0.313,2666764973
2021-01-28,0.313,0.353,0.306,0.346,0.346,2863036709
2021-01-29,0.352,0.367,0.332,0.348,0.348,3367098095
2021-01-30,0.348,0.373,0.337,0.363,0.363,2866173269
2021-01-31,0.363,0.375,0.339,0.345,0.345,2455679992
2021-02-01,0.345,0.417,0.334,0.402,0.402,3838085989
2021-02-02,0.403,0.453,0.389,0.426,0.426,6504904709
2021-02-03,0.426,0.447,0.415,0.441,0.441,3648896567
2021-02-04,0.441,0.447,0.41,0.441,0.441,3553059568
2021-02-05,0.441,0.557,0.44,0.538,0.538,6808411307
2021-02-06,0.538,0.658,0.523,0.628,0.628,8109402422
2021-02-07,0.629,0.703,0.587,0.663,0.663,11252055620
2021-02-08,0.662,0.719,0.634,0.683,0.683,9056514741
2021-02-09,0.682,0.709,0.669,0.704,0.704,5885048712
2021-02-10,0.704,0.944,0.704,0.93,0.93,12667653585
2021-02-11,0.931,0.973,0.872,0.928,0.928,10627183208
2021-02-12,0.927,0.945,0.871,0.926,0.926,8035829513
2021-02-13,0.925,0.95,0.833,0.906,0.906,7532474270
2021-02-14,0.906,0.915,0.815,0.848,0.848,7159401195
2021-02-15,0.848,0.908,0.717,0.861,0.861,8979888270
2021-02-16,0.861,0.904,0.841,0.871,0.871,6948621246
2021-02-17,0.871,0.896,0.826,0.891,0.891,5841828077
2021-02-18,0.891,0.957,0.891,0.914,0.914,4918032802
2021-02-19,0.914,0.944,0.885,0.928,0.928,4582877243
2021-02-20,0.927,1.194,0.917,1.123,1.123,11454890463
2021-02-21,1.122,1.15,1.079,1.101,1.101,7042361464
2021-02-22,1.1,1.134,0.852,1.099,1.099,10562051439
2021-02-23,1.099,1.134,0.824,0.955,0.955,11201900117
2021-02-24,0.955,1.075,0.903,1.052,1.052,8481334623
