Tanggal,Kurs
12/7/2021 12:00:00 AM,14408
12/6/2021 12:00:00 AM,14441
12/3/2021 12:00:00 AM,14408
12/2/2021 12:00:00 AM,14378
12/1/2021 12:00:00 AM,14353
11/30/2021 12:00:00 AM,14320
11/29/2021 12:00:00 AM,14340
11/26/2021 12:00:00 AM,14280
11/25/2021 12:00:00 AM,14280
11/24/2021 12:00:00 AM,14272
11/23/2021 12:00:00 AM,14272
11/22/2021 12:00:00 AM,14255
11/19/2021 12:00:00 AM,14237
11/18/2021 12:00:00 AM,14231
11/17/2021 12:00:00 AM,14259
11/16/2021 12:00:00 AM,14211
11/15/2021 12:00:00 AM,14206
11/12/2021 12:00:00 AM,14243
11/11/2021 12:00:00 AM,14288
11/10/2021 12:00:00 AM,14253
11/9/2021 12:00:00 AM,14233
11/8/2021 12:00:00 AM,14268
11/5/2021 12:00:00 AM,14374
11/4/2021 12:00:00 AM,14327
11/3/2021 12:00:00 AM,14301
11/2/2021 12:00:00 AM,14261
11/1/2021 12:00:00 AM,14235
10/29/2021 12:00:00 AM,14171
10/28/2021 12:00:00 AM,14199
10/27/2021 12:00:00 AM,14184
10/26/2021 12:00:00 AM,14165
10/25/2021 12:00:00 AM,14183
10/22/2021 12:00:00 AM,14162
10/21/2021 12:00:00 AM,14133
10/19/2021 12:00:00 AM,14080
10/18/2021 12:00:00 AM,14096
10/15/2021 12:00:00 AM,14084
10/14/2021 12:00:00 AM,14155
10/13/2021 12:00:00 AM,14221
10/12/2021 12:00:00 AM,14217
10/11/2021 12:00:00 AM,14210
10/8/2021 12:00:00 AM,14225
10/7/2021 12:00:00 AM,14238
10/6/2021 12:00:00 AM,14245
10/5/2021 12:00:00 AM,14260
10/4/2021 12:00:00 AM,14276
10/1/2021 12:00:00 AM,14315
9/30/2021 12:00:00 AM,14321
9/29/2021 12:00:00 AM,14307
9/28/2021 12:00:00 AM,14269
9/27/2021 12:00:00 AM,14258
9/24/2021 12:00:00 AM,14250
9/23/2021 12:00:00 AM,14256
9/22/2021 12:00:00 AM,14249
