Kurs Jual,Kurs Beli,Tanggal
12681.56,12549.85,1-25-2022
12649.13,12518.87,1-24-2022
12625.39,12497.58,1-21-2022
12620.69,12490.74,1-20-2022
12552.65,12424.49,1-19-2022
12582.71,12454.24,1-18-2022
12636.46,12507.42,1-17-2022
12563.38,12435.11,1-14-2022
12460.78,12335.72,1-13-2022
12462.49,12335.28,12-1-2022
12445.63,12320.73,11-1-2022
12465.92,12338.69,10-1-2022
12497.18,12369.62,7-1-2022
12453.06,12325.96,6-1-2022
12415.01,12290.42,5-1-2022
12442.61,12317.73,4-1-2022
12467.97,12340.7,3-1-2022
12451.46,12326.5,12-31-2021
12469.63,12342.33,12-30-2021
12462.49,12337.42,12-29-2021
12471.54,12345.29,12-28-2021
12493.53,12367.05,12-27-2021
12529.32,12400.31,12-24-2021
12541.84,12414.87,12-23-2021
12695.44,12565.8,12-22-2021
12748.85,12618.66,12-21-2021
12635.62,12508.8,12-20-2021
12635.62,12508.8,12-17-2021
12672.55,12544.25,12-16-2021
12686.73,12559.39,12-15-2021
12687.2,12559.85,12-14-2021
12714.38,12586.76,12-13-2021
12714,12581.95,10-12-2021
12701.26,12571.56,9-12-2021
12738.66,12606.37,8-12-2021
12825.39,12693.29,7-12-2021
12772.37,12644.17,6-12-2021
12768.3,12637.91,3-12-2021
12709.05,12581.48,2-12-2021
12753.99,12623.73,1-12-2021
12718.82,12587.83,11-30-2021
12555.91,12427.71,11-29-2021
12442.69,12315.68,11-26-2021
12464.9,12337.65,11-25-2021
12514.93,12387.16,11-24-2021
12552.6,12425.52,11-23-2021
12498.42,12372.98,11-22-2021
12527.07,12400.25,11-19-2021
12479.58,12354.33,11-18-2021
12510.56,12385,11-17-2021
12530.31,12402.36,11-16-2021
12553.03,12427.03,11-15-2021
12591.58,12463.01,12-11-2021
12661.78,12532.47,11-11-2021
12669.77,12542.59,10-11-2021
12638.23,12510.27,9-11-2021
12698.55,12571.09,8-11-2021
12631.49,12502.52,5-11-2021
12622.97,12495.17,4-11-2021
12627.59,12499.74,3-11-2021
12526.21,12398.31,2-11-2021
12528.03,12397.92,1-11-2021
12560.51,12433.35,10-29-2021
12543.93,12415.84,10-28-2021
12484.28,12358.98,10-27-2021
12550.78,12421.52,10-26-2021
12488.21,12360.69,10-25-2021
12456.08,12329.98,10-22-2021
12420.26,12294.52,10-21-2021
12385.45,12261.14,10-19-2021
12390.07,12263.57,10-18-2021
12543.67,12416.67,10-15-2021
12585.51,12456.99,10-14-2021
12601.95,12473.26,10-13-2021
12650.41,12520.1,12-10-2021
12772.38,12644.17,11-10-2021
12843.72,12712.5,8-10-2021
12835.06,12703.93,7-10-2021
12893.66,12761.92,6-10-2021
12903.48,12771.64,5-10-2021
12946.89,12815.75,4-10-2021
12857.43,12726.09,1-10-2021
12916.4,12786.73,9-30-2021
12885.57,12753.92,9-29-2021
12920.91,12788.88,9-28-2021
12972.15,12839.58,9-27-2021
13031.91,12898.72,9-24-2021
13080.24,12947.73,9-23-2021
13068.49,12934.91,9-22-2021
13060.61,12927.11,9-21-2021
13008.52,12876.74,9-20-2021
13083.29,12949.55,9-17-2021
13099.74,12965.84,9-16-2021
13022.17,12889.08,9-15-2021
13015.44,12884.76,9-14-2021
13009.49,12876.53,9-13-2021
13053.66,12921.42,10-9-2021
13015.01,12883.16,9-9-2021
12979.69,12847.03,8-9-2021
13024.67,12892.72,7-9-2021
13034.11,12902.07,6-9-2021
13048.83,12917.82,3-9-2021
13008.99,12876.05,2-9-2021
13083.57,12951.02,1-9-2021
13154.13,13019.69,8-31-2021
13172.72,13039.28,8-30-2021
13158.24,13023.77,8-27-2021
