Kurs Jual,Kurs Beli,Tanggal
10930.65,10821.1,2022-23-08
10922.6,10813.13,2022-22-08
11012.95,10902.56,2022-19-08
11105.08,10992.12,2022-18-08
11087.45,10974.66,2022-16-08
11076.34,10965.31,2022-15-08
11227.45,11114.89,2022-12-08
11078.54,10967.49,2022-11-08
11069.67,10957.09,2022-10-08
11100.1,10988.83,2022-09-08
11240.92,11128.23,2022-08-08
11184.23,11070.47,2022-05-08
11249.87,11137.11,2022-04-08
11438.3,11323.62,2022-03-08
11273.28,11160.27,2022-02-08
11246.55,11133.81,2022-01-08
11089.4,10978.25,2022-29-07
11021.54,10911.08,2022-28-07
11023.29,10912.81,2022-27-07
11049.4,10937.05,2022-26-07
10974.79,10864.8,2022-25-07
10888.95,10779.83,2022-22-07
10904.36,10793.51,2022-21-07
10941.08,10829.85,2022-20-07
10910.55,10799.65,2022-19-07
10853.97,10745.19,2022-18-07
10833.69,10725.12,2022-15-07
10990.24,10880.09,2022-14-07
10975.29,10863.7,2022-13-07
10995.35,10885.16,2022-12-07
11095,10983.79,2022-11-07
11058.76,10946.31,2022-08-07
11159.65,11046.16,2022-07-07
11092.67,10979.87,2022-06-07
11107.27,10995.94,2022-05-07
11094.46,10983.26,2022-04-07
10978.79,10868.75,2022-01-07
10960.15,10847.11,2022-30-06
10989.16,10877.41,2022-29-06
11023.35,10909.62,2022-28-06
11063.5,10950.97,2022-27-06
11007.96,10896.01,2022-24-06
10957.74,10847.91,2022-23-06
10997.95,10887.71,2022-22-06
11062.61,10950.09,2022-21-06
11075.54,10963.71,2022-20-06
11128,11016.45,2022-17-06
11011.84,10901.46,2022-16-06
11031.11,10920.54,2022-15-06
10976.97,10866.93,2022-14-06
10940.63,10829.34,2022-13-06
10941.57,10831.88,2022-10-06
10874.8,10764.18,2022-09-06
10950.15,10840.37,2022-08-06
11116.96,11003.82,2022-07-06
11157.99,11046.12,2022-06-06
11238.36,11125.68,2022-03-06
11463.27,11348.32,2022-02-06
11483.01,11366.07,2022-31-05
11532.5,11413.26,2022-30-05
11585.51,11467.52,2022-27-05
11558.17,11440.47,2022-25-05
11556.76,11439.07,2022-24-05
11506.68,11388.63,2022-23-05
11580.62,11464.49,2022-20-05
11417.94,11303.46,2022-19-05
11383.27,11267.39,2022-18-05
11409.57,11293.41,2022-17-05
11392.76,11276.77,2022-13-05
11261.64,11148.72,2022-12-05
11242.58,11128.15,2022-11-05
